,unemployment_roll3_mean,gdp_growth_roll3_std,consumption_growth_roll3_mean,india_gdp_growth_roll3_std,imports_pct_gdp_lag1,unemployment_lag1,unemployment_lag2,gdp_growth_chg3,imports_pct_gdp_roll3_mean,gdp_growth_roll3_mean,forex_reserves_months_roll3_std,gross_investment_gdp_lag2,consumption_growth_lag1,india_nepal_gdp_gap,imports_pct_gdp_lag2,gdp_growth_chg1,consumption_growth_lag2,gross_investment_gdp_lag3,gross_investment_gdp_lag1,forex_rapid_decline,india_gdp_growth_lag3,forex_reserves_months_lag3,gross_investment_gdp_chg1,imports_pct_gdp_chg1,stress_index,imports_pct_gdp_roll3_std,remittances_pct_gdp_lag1,distress
2006-01-01,10.617,0.7301191727543365,3.6878740011090088,0.0794143102869732,29.4792606869219,10.59,10.652,-0.58042297994839,30.08641631439893,3.842133026795724,0.5789588321900877,24.5311495689792,4.6931124473798,4.69611779110374,29.464591457087,-0.1145662677321901,0.968061082406635,21.4093789298114,26.4511581033301,0,7.8603814759073,7.71309551906274,0.4007447103758004,1.8361361122660007,0.4939117445319819,1.064353592829998,14.9051013655231,0
2007-01-01,10.613666666666669,0.0575932257770467,4.4202467832639565,0.203204644593072,31.3153967991879,10.609,10.59,-1.27104297172668,30.839422543243035,3.418452036220163,0.6388289781607971,26.4511581033301,5.40244847354059,4.249254787207939,29.4792606869219,0.0469454992399902,4.6931124473798,24.5311495689792,26.8519028137059,0,7.92293661199932,7.73890770780445,1.8333479395637973,0.4082133444313989,0.4080931121856727,1.1954872396584644,16.0689646788639,0
2008-01-01,10.616,1.568577442463488,3.27990667930224,2.763557482138524,31.7236101436193,10.642,10.609,2.62545809543976,32.09979767866607,4.293604734700083,0.6557281984942208,26.8519028137059,3.16517942887148,-3.0179410845149097,31.3153967991879,2.69307886393196,5.40244847354059,26.4511581033301,28.6852507532697,0,7.92343062148318,6.70143423450661,1.6303962458402026,1.5367759495717015,0.4859306362613882,1.0256137843214217,16.7918134796819,0
2009-01-01,10.607,1.3527921459167709,3.3692865734364035,2.7007845769004626,33.260386093191,10.597,10.642,1.1684639440858304,33.2146966047623,4.683092716062027,0.0825885363928234,28.6852507532697,1.27209213549465,3.3288101082121395,31.7236101436193,-1.5715604190861194,3.16517942887148,26.8519028137059,30.3156469991099,0,8.06073257166651,7.66549847116562,1.358730095455197,1.3997074842855994,0.5489710450193288,1.468774790886695,21.7381039679629,0
2010-01-01,10.580666666666668,0.8376160367206182,4.39168606290574,2.957596164294331,34.6600935774766,10.582,10.597,1.4048543671429696,34.774283090985335,5.151377505109683,0.3370813108315598,30.3156469991099,5.67058815594308,3.681170055266621,33.260386093191,0.2833359222971294,1.27209213549465,28.6852507532697,31.6743770945651,0,7.6608150670107,6.45735169197997,6.596829353596899,1.742276024811801,0.5161018133767791,1.5741011805492455,23.2076254422303,0
2011-01-01,10.590666666666667,0.737125730340613,4.158376971281328,1.7260163541245663,36.4023696022884,10.563,10.582,-2.6828304425731,33.184362129995336,4.257100690918651,0.3826946968131195,31.6743770945651,6.23237789727949,1.81950749821533,34.6600935774766,-1.39460594578411,5.67058815594308,30.3156469991099,38.271206448162,0,3.08669805921981,6.61958299342483,-10.460961969236596,-7.911746392067403,0.5491530619390419,4.157194994453804,21.6469852746313,0
2012-01-01,10.607333333333337,0.7664482250149375,3.279923429334941,1.8210995011084787,28.490623210221,10.627,10.563,0.1370631998209299,31.3548691946839,4.302788424192293,0.80008774676941,38.271206448162,0.572164860621413,0.7862456271963394,36.4023696022884,1.2483332233079103,6.23237789727949,31.6743770945651,27.8102444789254,0,7.86188883286074,6.56536255889742,0.7924607610957999,0.6809915613212993,0.4967187663554636,4.384504835237776,19.5463008559418,0
2013-01-01,10.641666666666666,0.6928221465889742,2.0852057197209874,0.608437538686863,29.1716147715423,10.632,10.627,-1.29126147565424,30.077651680607,3.872367932307546,0.9123249743361784,27.8102444789254,3.03522753010392,2.860953229656761,28.490623210221,-1.1449887531780405,0.572164860621413,38.271206448162,28.6027052400212,0,8.49758470221235,6.01052214363674,1.0739037795171988,3.3991022885154045,0.4905845705290596,2.185742120267044,22.0821265457679,0
2014-01-01,10.639333333333331,1.244456369748962,2.90905892679622,0.9773000506360536,32.5707170600577,10.666,10.632,2.5896741413427904,32.533643775012564,4.7355926460884765,0.5197302817167557,28.6027052400212,2.64822476843763,1.3987447625841298,29.1716147715423,2.4863296712129204,3.03522753010392,27.8102444789254,29.6766090195384,0,5.24131619937695,6.74453820987915,1.3094792073308987,3.2878824333799983,0.4065974287094393,3.343646510781853,25.1947048897919,0
2015-01-01,10.643,1.324645844017054,2.7582177233439467,0.8149463710187029,35.8585994934377,10.62,10.666,-0.6940886528398202,34.960152783332234,4.504229761808537,2.32887346142731,29.6766090195384,3.04372448184711,4.020200514085,32.5707170600577,-2.0354295708747,2.64822476843763,28.6027052400212,30.9860882268693,0,5.45638755166587,7.60892634309321,0.2913465939994992,0.5925423030635955,0.3706707765788293,2.0904135719936656,25.9051136185799,1
