,gdp_growth,inflation,unemployment,remittances_pct_gdp,forex_reserves_months,gross_investment_gdp,consumption_growth,exports_pct_gdp,imports_pct_gdp,india_gdp_growth,india_inflation,distress
2011-01-01,3.42180870116162,19.5463008559418,6.74453820987915,9.2270754612596,7.80613567987597,27.8102444789254,28.490623210221,3.42180870116162,10.627,8.91179336483371,5.24131619937695,0
2012-01-01,4.67014192446953,22.0821265457679,7.60892634309321,9.45980980357125,8.75029128721577,28.6027052400212,29.1716147715423,4.67014192446953,10.632,9.47899691419801,5.45638755166587,0
2013-01-01,3.52515317129149,25.1947048897919,8.56836277441355,9.04016311917645,9.2946586776145,29.6766090195384,32.5707170600577,3.52515317129149,10.666,10.0178784746102,6.38610640094825,0
2014-01-01,6.01148284250441,25.9051136185799,8.43501141324674,8.36415469659563,10.124042118155,30.9860882268693,35.8585994934377,6.01148284250441,10.62,6.66565671867899,7.41022760508854,0
2015-01-01,3.97605327162971,27.6260850017638,12.5337607363716,7.86890895590891,10.2145885930146,31.2774348208688,36.4511417965013,3.97605327162971,10.643,4.90697344127256,7.99625378571471,1
2016-01-01,0.433113719381524,26.9605652689538,10.2885647962682,8.7903433200464,8.1795780409177,28.2409991995242,33.9359080838193,0.433113719381524,10.714,4.94821634062141,8.25630550179086,1
2017-01-01,8.97727935643466,23.9135443394186,9.35380252386613,2.77703998300211,7.81218865494721,37.3250540060946,36.8302219675524,8.97727935643466,10.66,3.32817337461298,6.79538341897911,0
2018-01-01,7.62237610397935,25.0264204285432,6.61464333893592,4.40659410175714,7.81564102178754,39.5478003355175,40.6317459243192,7.62237610397935,10.593,3.9388264669163,6.45385134497769,0
2019-01-01,6.65705543110467,24.1163701264819,7.45868343240894,5.56616035243723,7.7799364745157,41.3787409108185,41.4695901129297,6.65705543110467,10.477,3.72950573539129,3.87143694070356,0
2020-01-01,-2.3696206292072,24.2502461023191,12.4797850993124,5.05635826238499,6.80529835464112,30.4402815098213,34.113575769703,-2.3696206292072,13.037,6.62343677628535,-5.77772470686801,1
2021-01-01,4.838149614115,22.2775786274327,6.7229827208626,4.12676744440695,5.11917148492798,35.1635974644693,37.934633306985,4.838149614115,12.241,5.13140747176369,9.68959249192875,1
2022-01-01,5.6313145568451,22.8532966744987,7.11844228100777,7.6702057938028,6.70239086589236,37.6438482526851,42.2710106140504,5.6313145568451,10.661,6.69903414079852,7.60936497768895,1
2023-01-01,1.98254843628392,26.2241089254704,10.4169326092974,7.11587261530826,7.00596728087278,31.1493001529726,34.5641830124417,1.98254843628392,10.437,5.64914318907925,9.19075493028345,1
2024-01-01,3.66537430744967,26.2254579224946,12.9718425174618,4.6850965426577,7.62189857137715,30.3993910198841,32.9079241058137,3.66537430744967,10.5,4.95303550973656,6.49476552383821,0
2025-01-01,,26.2254579224946,12.9718425174618,4.6850965426577,7.62189857137715,30.3993910198841,32.9079241058137,3.66537430744967,10.465,4.95303550973656,6.49476552383821,0
